Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
1730458,2015-08-17 02:41:45,www.sogeti.ie,www.sogeti.ie,[],http,1.0,paused,2024-12-11 08:38:50,sogeti.ie.,192.0.66.24,stanley.ns.cloudflare.com.;nova.ns.cloudflare.com.
1768434,2015-09-01 20:55:01,medlem.lif.se,medlem.lif.se,[],http,,up,2025-05-05 08:33:12,,217.114.93.221,
1779326,2015-09-07 01:31:58,veho.fi,veho.fi,[],http,,up,2025-05-05 08:33:17,,34.120.197.65,ns-se.elisa.net.;ns-fi.elisa.net.
1807561,2015-09-21 03:52:18,www.regiongavleborg.se,www.regiongavleborg.se,[],http,,up,2025-05-05 08:33:30,,217.114.93.252,
1847294,2015-10-20 00:51:47,www.verticalscreen.com,www.verticalscreen.com,[],http,1.0,up,2025-05-05 08:33:15,,104.18.10.242;104.18.11.242,
1847297,2015-10-20 00:56:12,www.bigreport.com,www.bigreport.com,[],http,,up,2025-05-05 08:33:17,,104.18.16.159;104.18.17.159,
1847335,2015-10-20 02:00:09,www.fieldprint.com,www.fieldprint.com,[],http,1.0,up,2025-05-05 08:33:20,,104.18.12.18;104.18.13.18,
1849080,2015-10-21 04:05:44,www.certiphi.com,www.certiphi.com,[],http,,up,2025-05-05 08:33:26,,104.18.2.25;104.18.3.25,
1928884,2015-12-28 04:47:43,www.newschool.edu,www.newschool.edu,[],http,1.0,up,2025-05-05 08:33:43,www.newschool.edu.cdn.cloudflare.net.,104.18.37.7;172.64.150.249,
1955885,2016-01-19 09:31:02,www.cordishotels.com,www.cordishotels.com,[],http,,paused,2025-03-24 13:38:32,ccdn.langham.edgekey.net.,23.202.89.89;23.202.89.97,
1957146,2016-01-19 20:21:58,ZD1270862 folktandvardenskane.se,folktandvardenskane.se,[],http,1.0,paused,2023-11-01 13:32:18,,37.123.185.200,ephemera.nmugroup.se.;unit.nmugroup.com.;origo.nmugroup.com.;vertex.nmugroup.se.
9733265,2021-11-02 04:24:45,www.mpn10.no,www.mpn10.no,[],http,1.0,paused,2025-03-13 13:27:07,www.mpn10.no.cdn.cloudflare.net.,172.64.152.185;104.18.35.71,
2007332,2016-02-17 11:33:22,www.hjart-lung.se,www.hjart-lung.se,"[""epwsweb102""]",http,1.0,up,2025-05-05 08:33:15,prod.hjart-lung10.episerverhosting.com.,217.114.92.201,
2048680,2016-03-14 09:44:40,www.snusochtandsticksmuseum.se,www.snusochtandsticksmuseum.se,"[""swematchweb03""]",http,,up,2025-05-05 08:33:21,www.snusochtandsticksmuseum.se.dxcloud.episerver.net.,104.18.37.199;172.64.150.57,
2087183,2016-04-08 14:38:49,www.ecster.se,www.ecster.se,"[""everweb"",""hbfweb01"",""hbfweb02""]",http,,paused,2025-02-21 12:11:53,link01.handelsbanken.se.,192.176.124.131,
2090083,2016-04-11 13:44:29,zd1586668 - www.sogeti.be,www.sogeti.be,[],http,1.0,paused,2024-12-05 08:52:39,sogeti.be.,192.0.66.24,dns2.p01.nsone.net.;dns3.p01.nsone.net.;dns4.p01.nsone.net.;dns1.p01.nsone.net.
2090099,2016-04-11 13:49:24,www.sogeti.de,www.sogeti.de,[],http,1.0,paused,2025-01-27 09:50:08,sogeti.de.,192.0.66.24,nova.ns.cloudflare.com.;stanley.ns.cloudflare.com.
2090100,2016-04-11 13:50:34,zd1624746 - www.sogeti.es,www.sogeti.es,[],http,1.0,paused,2025-01-21 09:42:06,sogeti.es.,192.0.66.24,dns3.p03.nsone.net.;dns1.p03.nsone.net.;dns4.p03.nsone.net.;dns2.p03.nsone.net.
2090103,2016-04-11 13:52:22,www.sogeti.lu,www.sogeti.lu,[],http,1.0,paused,2024-12-11 08:56:16,sogeti.lu.,192.0.66.24,dns4.p01.nsone.net.;dns1.p01.nsone.net.;dns2.p01.nsone.net.;dns3.p01.nsone.net.
2123420,2016-04-29 19:36:42,www.hfab.se,www.hfab.se,[],http,,up,2025-05-05 08:33:45,,193.192.54.162,
2136355,2016-05-09 18:23:01,www.swep.net,www.swep.net,[],http,,up,2025-05-05 08:32:58,web.swep.net.,217.114.93.251,
2156489,2016-05-23 09:43:39,www.ul.se,www.ul.se,[],http,,up,2025-05-05 08:33:41,,217.114.85.171,
2156725,2016-05-23 11:44:10,www.kappala.se,www.kappala.se,[],http,1.0,up,2025-05-05 08:33:57,,217.114.92.200,
2156726,2016-05-23 11:45:12,www.norrvatten.se,www.norrvatten.se,"[""epwsweb102""]",http,1.0,up,2025-05-05 08:33:39,,217.114.92.201,
2156827,2016-05-23 12:56:42,www.capio.com,www.capio.com,"[""everweb"",""capio""]",http,1.0,up,2025-05-05 08:33:48,,193.14.90.203,
2158287,2016-05-24 09:33:10,www.nefab.com,www.nefab.com,[],http,1.0,paused,2025-04-12 01:40:15,,104.17.201.193,
